레시피,필요 식재료 개수,변환된식재료,재료명,url,카테고리,상황태그,국가태그,칼로리,탄수화물,단백질,나트륨,칼슘,비타민c,식재료,해먹지수
3분 미트볼 파스타,6,"즉석미트볼,파스타면,토마토소스,물,파마산치즈가루,양파",3분 미트볼|파스타|토마토소스|물|파마산치즈|양파,https://haemukja.com/recipes/2569,국밥/면/죽,간식/야식|파티/명절요리,양식 요리,461.0,95.8,13.3,1096.1,109.0,22.7,"['즉석미트볼', '파스타면', '토마토소스', '물', '파마산치즈가루', '양파']",4.2
5분 가츠동,6,"치킨까스,사이다,간장,양파,계란,쪽파",치킨까스|사이다|간장|양파|달걀|쪽파,https://haemukja.com/recipes/4588,밥,,퓨전요리|일식 요리,333.3,31.9,26.7,2558.7,60.2,5.2,"['치킨까스', '사이다', '간장', '양파', '계란', '쪽파']",2.8
5분 열무국수,7,"비빔면,계란,열무,설탕,마늘,참기름,사과주스",비빔면|달걀|열무|설탕|다진마늘|참기름|사과주스,https://haemukja.com/recipes/5193,국밥/면/죽,,한식 요리,135.2,7.3,7.7,96.4,27.9,1.4,"['비빔면', '계란', '열무', '설탕', '마늘', '참기름', '사과주스']",2.8
5분제육볶음,3,"돼지고기,양파,대파",돼지고기|양파|대파,https://haemukja.com/recipes/1762,반찬,간식/야식,한식 요리,117.15,3.95,25.55,135.55,19.35,2.75,"['돼지고기', '양파', '대파']",1.6
Angry Potato ,15,"감자,꽈리고추,마늘,소금,설탕,후추,다시마,멸치,육수,사워크림,갈릭솔트,올리브오일,파슬리,체다치즈,파마산치즈가루","감자|꽈리고추|마늘 4개, 소금 약간 , 설탕 조금 , 후츄 초큼|다시마 멸치 육수|사워크림|갈릭 솔트|올리브 오일|파슬리|체다치즈,파마산치즈 중 택 1",https://haemukja.com/recipes/1700,반찬,술안주,양식 요리,106.2,14.8,3.1,18.25,10.8,37.3,"['감자', '꽈리고추', '마늘', '소금', '설탕', '후추', '다시마', '멸치', '육수', '사워크림', '갈릭솔트', '올리브오일', '파슬리', '체다치즈', '파마산치즈가루']",1.7
Apple and Seaweed in Vinegar Sauce,9,"마른해초,사과,설탕,간장,식초,마늘,소금,참깨,참기름",dried seaweed|apple|[Sauce] sugar|soy sauce|vinegar|minced garlic|salt|ground sesame seed|sesame oil,https://haemukja.com/recipes/3084,소스,,이국적인맛|한식 요리,14.55,5.6,0.5,163.85,13.25,1.3,"['마른해초', '사과', '설탕', '간장', '식초', '마늘', '소금', '참깨', '참기름']",3.3
Assorted Cheese Fondue,13,"치즈,애호박,없는단어,닭가슴살,없는단어,녹말가루,과립마늘,토마토,없는단어,캐첩,설탕,후추,후추",cheese|zucchini|morning roll|chicken breast|white wine (or cooking wine)|starch powder|granulated garlic|[sauce] tomato|Gochu-jang (Korean red chili paste)|ketchup|sugar|pepper|pepper,https://haemukja.com/recipes/3153,후식,간식/야식|술안주|손님 접대 요리|파티/명절요리,퓨전요리|이국적인맛|양식 요리,166.05,40.25,16.85,962.9,349.05,8.6,"['치즈', '애호박', '없는단어', '닭가슴살', '없는단어', '녹말가루', '과립마늘', '토마토', '없는단어', '캐첩', '설탕', '후추', '후추']",2.7
Bacon and Pancake,6,"베이컨,팬케이크믹스,물,계란,콩,양송이버섯",bacons|pancake mix|water|eggs|baked beans|button mushroom,https://haemukja.com/recipes/3185,후식,술안주|간식/야식,퓨전요리|양식 요리,3069.6,387.2,92.9,5679.2,615.3,5.2,"['베이컨', '팬케이크믹스', '물', '계란', '콩', '양송이버섯']",2.5
Bacon Pilaf with Oyster Sauce ,9,"밥,없는단어,마요네즈,칠리소스,굴소스,없는단어,계란,소금,후추",rice|bacon (short)|mayonnaise|chili sauce|oyster sauce|onion|eggs|salt|pepper,https://haemukja.com/recipes/3162,밥,,퓨전요리|이국적인맛|한식 요리,124.15,6.55,9.1,557.4,20.8,4.6,"['밥', '없는단어', '마요네즈', '칠리소스', '굴소스', '없는단어', '계란', '소금', '후추']",3.9
Banh Xeo Roll,9,"쌀가루,우유,물,계란,강황가루,없는단어,굴소스,콩나물,라이스페이퍼",[banh xeo] rice powder|milk|water|eggs|turmeric powder|pork (tenderloin)|oyster sauce|green bean sprouts|rice paper,https://haemukja.com/recipes/3155,밥,간식/야식|술안주|손님 접대 요리,동남아/인도 요리|이국적인맛,39.575,17.35,9.975,91.525,29.175,0.575,"['쌀가루', '우유', '물', '계란', '강황가루', '없는단어', '굴소스', '콩나물', '라이스페이퍼']",1.7
Barbecued Chicken Calzone,9,"없는단어,물,설탕,소금,기름,없는단어,닭가슴살,풋고추,토마토소스",hard flour (or multi-purpose flour)|lukewarm water|sugar|salt|oil|instant dry yeast|chicken breast|green bell pepper|tomato sauce,https://haemukja.com/recipes/3150,반찬,간식/야식|술안주|손님 접대 요리,이국적인맛|양식 요리,38.4,21.86666667,4.266666667,269.9666667,8.866666667,2.233333333,"['없는단어', '물', '설탕', '소금', '기름', '없는단어', '닭가슴살', '풋고추', '토마토소스']",3.0
Barley Rice with Wild Chive Soy Sauce,10,"없는단어,달래,소고기,계란,간장,고춧가루,참깨,설탕,참기름,후추",cooked barley|wild chive|beef|eggs|[sauce] soy sauce|red pepper powder|sesame seed|sugar|sesame oil|pepper,https://haemukja.com/recipes/3159,반찬,,한식 요리,92.2,6.65,13.45,857.1,59.9,0.95,"['없는단어', '달래', '소고기', '계란', '간장', '고춧가루', '참깨', '설탕', '참기름', '후추']",2.5
Bean Sprout Jjolmyeon (Spicy Chewy Noodles),10,"없는단어,콩나물,계란,달래,간장,식초,없는단어,없는단어,참기름,참깨",jjolmyeon (Korean spicy chewy noodles)|bean sprouts|boiled egg|wild chive|[Sauce] soy sauce|vinegar|Gochu-jang (Korean red chili paste)|syrup|sesame oil|ground sesame seed,https://haemukja.com/recipes/3100,반찬,,한식 요리,231.35,72.05,12.1,599.55,73.55,3.5,"['없는단어', '콩나물', '계란', '달래', '간장', '식초', '없는단어', '없는단어', '참기름', '참깨']",3.2
Beef Tataki in Chilled Broth (Beef Seared Briefly),9,"소고기,없는단어,없는단어,없는단어,참깨,없는단어,간장,소금,후추",beef|onion|lettuce (small)|naengmyeon broth|sesame seeds|vinegar (or lemon juice)|soy sauce|salt|pepper,https://haemukja.com/recipes/3160,반찬,간식/야식|술안주|손님 접대 요리|파티/명절요리,퓨전요리|일식 요리|한식 요리,175.5,8.85,31.8,742.35,85.65,5.45,"['소고기', '없는단어', '없는단어', '없는단어', '참깨', '없는단어', '간장', '소금', '후추']",2.7
Beef Wild Chive Daikon Soup,8,"럼프스테이크,달래,무,쪽파,물,소금,후추,고추",rump steak|wild chive|daikon|scallion|water|salt and pepper|whole peppers,https://haemukja.com/recipes/3038,스프,,한식 요리,56.95,3.4,17.2,344.8,106.3,16.1,"['럼프스테이크', '달래', '무', '쪽파', '물', '소금', '후추', '고추']",2.6
Bibim-guksu (Spicy noodles),8,"소면,김치,간장,참기름,고춧가루,설탕,없는단어,김가루",somyeon|Kimchi|soy sauce|sesame oil|red chili powder|sugar|Gochu-jang (Korean red chili paste)|seaweed flakes,https://haemukja.com/recipes/2872,반찬,,한식 요리,587.7,117.6,12.2,2232.1,22.3,1.3,"['소면', '김치', '간장', '참기름', '고춧가루', '설탕', '없는단어', '김가루']",4.9
Bingsoo (shaved ice dessert),6,"없는단어,우유,물,망고주스,멜론,망고",condensed milk|milk|water|mango juice|melon|mangoes,https://haemukja.com/recipes/2845,후식,간식/야식,한식 요리,87.95,25.15,5.95,93.85,197.15,2.8,"['없는단어', '우유', '물', '망고주스', '멜론', '망고']",4.4
BLT샌드위치,9,"식빵,베이컨,토마토,양파,치즈,양상추,버터,마요네즈,머스타드소스",식빵|베이컨|토마토|양파|슬라이스치즈|양상추|버터|마요네즈|머스타드소스,https://haemukja.com/recipes/2912,빵,나들이 요리,이국적인맛|양식 요리,1166.333333,79.73333333,31.6,1903.266667,283.5333333,49.13333333,"['식빵', '베이컨', '토마토', '양파', '치즈', '양상추', '버터', '마요네즈', '머스타드소스']",4.3
Braised Daikon,10,"무,말린다시마,물,간장,없는단어,마늘,없는단어,후추,참기름,참깨",daikon|dried kelp|[Sauce] water|soy sauce|cooking wine (or mirim)|minced garlic|syrup|pepper|sesame oil|sesame,https://haemukja.com/recipes/3087,반찬,,한식 요리,3.05,1.55,0.225,89.8,4.425,2.025,"['무', '말린다시마', '물', '간장', '없는단어', '마늘', '없는단어', '후추', '참기름', '참깨']",2.0
Braised Eggs,8,"계란,간장,들깨기름,고춧가루,녹말시럽,마늘,쪽파,참깨",eggs|soy sauce|perilla oil|red chili powder|starch syrup|minced garlic|scallion|sesame seed,https://haemukja.com/recipes/3706,반찬,,한식 요리,165.3,18.6,1.6,6.6,9.7,6.1,"['계란', '간장', '들깨기름', '고춧가루', '녹말시럽', '마늘', '쪽파', '참깨']",3.6
Braised Spicy Monk Fish,19,"아귀,없는단어,대파,콩나물,고추,물방울,멍게,녹말가루,식초,소금,참기름,고춧가루,간장,마늘,생강,후추,설탕,없는단어,맛술",monkfish|onion|large green onion|bean sprouts|spicy peppers|water dropwort |sea squirts|starch powder|vinegar|salt|sesame oil|[Sauce] red pepper powder|soy sauce|minced garlic|minced ginger|pepper|sugar|Doenjang (Korean bean paste)|cooking wine,https://haemukja.com/recipes/3183,반찬,술안주|손님 접대 요리,한식 요리,320.5,18.85,111.4,1543.75,151.15,15.1,"['아귀', '없는단어', '대파', '콩나물', '고추', '물방울', '멍게', '녹말가루', '식초', '소금', '참기름', '고춧가루', '간장', '마늘', '생강', '후추', '설탕', '없는단어', '맛술']",2.1
Brunch,14,"베이글,계란,우유,치즈,방울토마토,시금치,요구르트,견과류,마늘,소금,후추,마늘,꿀,올리브기름",bagel|egg|milk|sliced cheese|cherry tomatoes|spinach|yogurt|nuts|[Sauce] minced garlic|salt|pepper|[Garlic oil] minced garlic|honey|olive oil,https://haemukja.com/recipes/3113,빵,간식/야식|손님 접대 요리|파티/명절요리,이국적인맛|양식 요리,208.75,46.3,16.95,465.65,157.85,28.6,"['베이글', '계란', '우유', '치즈', '방울토마토', '시금치', '요구르트', '견과류', '마늘', '소금', '후추', '마늘', '꿀', '올리브기름']",2.2
Buldak Mayo Rice Bowl (Super spicy chicken and mayo rice bowl),11,"닭가슴살,설탕,마늘,고추,고춧가루,없는단어,없는단어,굴소스,간장,계란,마요네즈",chicken breast|sugar|minced garlic|spicy chili peppers|red chili powder|Maesil-chung (Korea green plum extract)|cooking wine (or mirim)|oyster sauce|soy sauce|egg|mayonnaise,https://haemukja.com/recipes/2871,밥,간식/야식,퓨전요리,494.5,26.3,58.2,1592.9,54.0,19.3,"['닭가슴살', '설탕', '마늘', '고추', '고춧가루', '없는단어', '없는단어', '굴소스', '간장', '계란', '마요네즈']",3.6
Bulgogi with Green Onion,4,"대패삼겹살,대파,참깨,없는단어",thin pork belly|large green onion|sesame|Chogochujang (Korean hot pepper paste with vinegar),https://haemukja.com/recipes/3181,반찬,술안주,,238.2,17.05,23.15,1202.1,19.15,3.1,"['대패삼겹살', '대파', '참깨', '없는단어']",2.9
Button Mushroom Cap Pizza,5,"양송이버섯,옥수수통조림,마요네즈,토마토소스,피자치즈",양송이버섯|sweet corns|mayonnaise|tomato sauce|pizza cheese,https://haemukja.com/recipes/2857,빵,파티/명절요리,퓨전요리|양식 요리,21.63333333,8.6,3.0,119.6,45.33333333,1.933333333,"['양송이버섯', '옥수수통조림', '마요네즈', '토마토소스', '피자치즈']",4.1
Cabbage Rolls,12,"크림수프가루,돼지고기,없는단어,없는단어,우유,스파게티면,치즈,밥,소금,후추,없는단어,올리브기름",cream soup powder|pork|onion|cabbage|milk|spaghetti noodles|cheese|cold rice|salt|pepper|flour|olive oil,https://haemukja.com/recipes/3201,반찬,간식/야식,퓨전요리,540.45,173.6,49.85,437.25,272.85,60.45,"['크림수프가루', '돼지고기', '없는단어', '없는단어', '우유', '스파게티면', '치즈', '밥', '소금', '후추', '없는단어', '올리브기름']",2.3
Carrot Cake,11,"없는단어,계란,소금,우유,팬케이크믹스,포도씨유,견과류,계피,크림치즈,설탕가루,없는단어",carrot (medium)|egg|salt|milk|pancake mix|grape seed oil|nuts|cinnamon powder|cream cheese|sugar powder|lemon juice (or vinegar),https://haemukja.com/recipes/3085,후식,간식/야식|손님 접대 요리|파티/명절요리,양식 요리,48.1,24.275,5.175,306.4,62.725,1.875,"['없는단어', '계란', '소금', '우유', '팬케이크믹스', '포도씨유', '견과류', '계피', '크림치즈', '설탕가루', '없는단어']",2.8
Chashu Rice Bowl (Rice Topped with Braised Pork Belly),12,"없는단어,없는단어,계란,없는단어,생강,과립마늘,쪽파,간장,물,설탕,맛술,없는단어",pork (pork belly)|green onion (white part)|soft boiled egg|onion|ginger|granulated garlic|scallion|[Sauce] soy sauce|water|sugar|cooking wine|mirin (cooking wine),https://haemukja.com/recipes/3187,밥,간식/야식,퓨전요리|일식 요리,261.45,38.9,36.35,3096.3,95.2,14.4,"['없는단어', '없는단어', '계란', '없는단어', '생강', '과립마늘', '쪽파', '간장', '물', '설탕', '맛술', '없는단어']",3.7
Cheese Kimchi Pancake,5,"팬케이크믹스,김치,물,설탕,피자치즈",Korean pancake mix|Kimchi|water|sugar|pizza cheese,https://haemukja.com/recipes/2959,빵,술안주,한식 요리,108.4,23.35,12.8,284.45,189.6,0.05,"['팬케이크믹스', '김치', '물', '설탕', '피자치즈']",3.9
Cheese Pancake,5,"팬케이크믹스,우유,계란,마가린,피자치즈",pancake mix|milk|egg|margarine|shred pizza cheese,https://haemukja.com/recipes/3013,빵,간식/야식,양식 요리,678.5333333,85.86666667,20.66666667,1080.133333,341.7333333,1.333333333,"['팬케이크믹스', '우유', '계란', '마가린', '피자치즈']",3.0
Chicken Breast Lunch Box,8,"닭가슴살,토마토,키위,잎채소,아몬드,플레인요거트,파,없는단어",chicken breast|tomato|kiwi|leafy greens|almond|plain yogurt|[Optional] green onion leaf|honey (or maple syrup),https://haemukja.com/recipes/3107,반찬,나들이 요리|간식/야식,퓨전요리|양식 요리,260.9,30.7,33.1,86.1,96.0,88.1,"['닭가슴살', '토마토', '키위', '잎채소', '아몬드', '플레인요거트', '파', '없는단어']",3.7
Chicken Drumstick Steak,9,"없는단어,샐러리,마늘,파슬리,백포도주,버터,방울토마토,없는단어,올리브기름",drumstick|celery stalk|garlic cloves|parsley|white wine|butter|cherry tomatoes|flour|olive oil,https://haemukja.com/recipes/3195,반찬,술안주|손님 접대 요리,퓨전요리|양식 요리,787.4,14.3,33.7,236.3,50.1,16.1,"['없는단어', '샐러리', '마늘', '파슬리', '백포도주', '버터', '방울토마토', '없는단어', '올리브기름']",3.2
Chicken Souvlaki,8,"닭가슴살,밥,참기름,없는단어,콩나물,올리브기름,청포도,파",chicken breast|rice|sesame oil|garlic salt|green bean sprouts|olive oil|green grapes|chopped scallions,https://haemukja.com/recipes/3058,밥,술안주|간식/야식|파티/명절요리,이국적인맛|양식 요리,727.2,74.4,77.4,131.4,22.2,8.6,"['닭가슴살', '밥', '참기름', '없는단어', '콩나물', '올리브기름', '청포도', '파']",2.1
Chicken Stock Risotto,8,"밥,없는단어,없는단어,베이컨,소금,후추,참깨,파슬리",uncooked rice|chicken stock|onion (small)|bacons|salt|pepper|sesame seeds|parsley,https://haemukja.com/recipes/3144,밥,손님 접대 요리,양식 요리,8.95,4.2,0.55,76.8,10.65,4.65,"['밥', '없는단어', '없는단어', '베이컨', '소금', '후추', '참깨', '파슬리']",3.1
Chilled Noodles with Young Radish Water Kimchi,10,"국수,간장,식초,설탕,물,없는단어,오이,칠리소소,참깨,열무김치",noodles|[Broth] soy sauce|vinegar|sugar|water|ice cubes|[Garnish] cucumber|chili|sesame|young radish water kimchi,https://haemukja.com/recipes/3179,국밥/면/죽,간식/야식,한식 요리,234.6,38.8,17.1,11731.8,214.5,19.4,"['국수', '간장', '식초', '설탕', '물', '없는단어', '오이', '칠리소소', '참깨', '열무김치']",3.3
Chive Beef Loin Salad,10,"소고기등심,쪽파,간장,물,식초,설탕,없는단어,겨자가루,후추,참깨",beef loin|chives|[sauce] soy sauce|water|vinegar|sugar|syrup|mustard powder|pepper|sesame seeds,https://haemukja.com/recipes/3135,샐러드,술안주,퓨전요리|이국적인맛|한식 요리,105.85,10.1,22.65,893.85,27.1,7.8,"['소고기등심', '쪽파', '간장', '물', '식초', '설탕', '없는단어', '겨자가루', '후추', '참깨']",2.6
Cold Pasta,14,"토마토소스,물,소금,푸실리,올리브기름,참깨,검은깨,설탕,소금,발사믹식초,참기름,닭가슴살,상추,토마토",tomato sauce|water|salt|fusilli|olive oil|sesame seeds|black sesame seeds|sugar|salt|balsamic vinegar|sesame oil|chicken breast|baby leaf lettuce|tomato,https://haemukja.com/recipes/2850,국밥/면/죽,파티/명절요리,퓨전요리|양식 요리,117.9333333,56.8,9.866666667,127.7666667,109.6666667,5.633333333,"['토마토소스', '물', '소금', '푸실리', '올리브기름', '참깨', '검은깨', '설탕', '소금', '발사믹식초', '참기름', '닭가슴살', '상추', '토마토']",2.6
Corn Cobb Salad,9,"샐러드,옥수수통조림,토마토,계란,치즈,없는단어,없는단어,마요네즈,식초",salad mix|canned corn|tomato|eggs|sliced cheese|onion (small)|chicken breast (or bacon)|mayonnaise|vinegar,https://haemukja.com/recipes/3142,샐러드,간식/야식|손님 접대 요리,,94.5,19.3,8.1,309.95,76.35,16.2,"['샐러드', '옥수수통조림', '토마토', '계란', '치즈', '없는단어', '없는단어', '마요네즈', '식초']",3.1
Crab Stick Cream Croquettes,10,"꽃게,없는단어,없는단어,없는단어,없는단어,없는단어,계란,버터,소금,후추",crab stick|onion (small)|whipping cream (fresh cream)|flour|flour|panko bread crumbs|eggs|butter|salt|pepper,https://haemukja.com/recipes/3134,후식,간식/야식|나들이 요리|술안주|손님 접대 요리,퓨전요리|이국적인맛|일식 요리|양식 요리,153.05,23.0,14.3,806.45,214.65,4.25,"['꽃게', '없는단어', '없는단어', '없는단어', '없는단어', '없는단어', '계란', '버터', '소금', '후추']",4.0
Crab Stick Squid with Cold Salad in Spicy Mustard Sauce,11,"꽃게,오징어,없는단어,파프리카,소금,설탕,식초,마요네즈,겨자,참깨,후추",crab sticks|squid|cucumber|paprika|[Sauce] salt|sugar|vinegar|mayonnaise|mustard|ground sesame seed|pepper,https://haemukja.com/recipes/3086,반찬,간식/야식|술안주|손님 접대 요리|파티/명절요리,한식 요리,15.15,3.525,5.9,196.85,36.6,17.225,"['꽃게', '오징어', '없는단어', '파프리카', '소금', '설탕', '식초', '마요네즈', '겨자', '참깨', '후추']",2.9
Cream Cheese French Toast,6,"빵,계란,우유,크림치즈,생크림,없는단어",bread loaf|eggs|milk|cream cheese|fresh cream|condensed milk,https://haemukja.com/recipes/3161,빵,나들이 요리,이국적인맛,62.95,5.4,5.5,92.7,55.95,0.35,"['빵', '계란', '우유', '크림치즈', '생크림', '없는단어']",2.0
Crispy Sweet and Sour Pork ,18,"없는단어,간장,소금,후추,밀가루,찹쌀가루,계란,식용유,물,당근,없는단어,대파,물,식초,설탕,캐첩,굴소스,녹말물",pork (tenderloin or sirloin)|soy sauce|salt|pepper|[half handful of glutinous rice powder] starch powder|glutinous rice powder|beaten egg|cooking oil|water|[vegetable] carrot|onion (medium)|large green onion|[sauce] water|vinegar|sugar|ketchup.|oyster sauce|starch water,https://haemukja.com/recipes/3136,반찬,간식/야식|술안주|손님 접대 요리|파티/명절요리,퓨전요리|이국적인맛|중식 요리,62.26666667,20.9,10.33333333,262.2333333,23.0,3.433333333,"['없는단어', '간장', '소금', '후추', '밀가루', '찹쌀가루', '계란', '식용유', '물', '당근', '없는단어', '대파', '물', '식초', '설탕', '캐첩', '굴소스', '녹말물']",2.6
Crispy sweet and spicy dumplings,8,"냉동만두,없는단어,간장,없는단어,설탕,캐첩,마늘,물",frozen instant dumpling|Gochu-jang (Korean red chili paste)|soy sauce|Oligo-dang (oligo saccharide syrup)|sugar|ketchup|minced garlic|water,https://haemukja.com/recipes/2890,반찬,,한식 요리,44.05,21.7,0.4,187.25,5.05,0.5,"['냉동만두', '없는단어', '간장', '없는단어', '설탕', '캐첩', '마늘', '물']",4.2
Cucumber Egg Sandwich,12,"없는단어,없는단어,계란,빵,토마토,사탕수수통조림,버터,마요네즈,겨자,없는단어,소금,후추",cucumber|onion|boiled egg|sliced sandwich bread|[Optional] tomato|canned sweet corn|butter|[Sauce] mayonnaise|mustard|lemon juice (or vinegar)|salt|pepper,https://haemukja.com/recipes/3079,빵,,,71.46666667,23.1,6.566666667,251.0333333,30.66666667,8.033333333,"['없는단어', '없는단어', '계란', '빵', '토마토', '사탕수수통조림', '버터', '마요네즈', '겨자', '없는단어', '소금', '후추']",2.4
Dak-galbi (Spicy Stir Fried Chicken),12,"닭가슴살,없는단어,붉은기,간장,녹말시럽,설탕,마늘,후추,양배추,양파,떡꼬치떡,없는단어",chicken breast|Gochu-jang (Korean red chili paste)|red chi|soy sauce|starch syrup|sugar|minced garlic|후추가루|sliced cabbage|sliced onion|rice cake sticks|sesame leaves,https://haemukja.com/recipes/2944,반찬,간식/야식,한식 요리,122.4,38.6,20.25,343.9,18.0,7.4,"['닭가슴살', '없는단어', '붉은기', '간장', '녹말시럽', '설탕', '마늘', '후추', '양배추', '양파', '떡꼬치떡', '없는단어']",4.8
Deep Fried Gizzard,12,"전어,마늘쫑,식용유,고추,간장,매실,식초,설탕,참기름,설탕,소금,후추",gizzard|whole garlic cloves|cooking oil|[drug sauce] spicy peppers|soy sauce|plum|vinegar|sugar|sesame oil|sugar|salt|pepper,https://haemukja.com/recipes/3156,반찬,술안주|간식/야식,한식 요리,99.2,4.1,21.65,362.4,16.6,5.25,"['전어', '마늘쫑', '식용유', '고추', '간장', '매실', '식초', '설탕', '참기름', '설탕', '소금', '후추']",2.1
Deep Fried Quail Eggs,12,"메추리알,계란,없는단어,없는단어,없는단어,설탕,캐첩,간장,녹말시럽,마늘,참깨,식용유",quail eggs|eggs|flour|bread crumb|Gochu-jang (Korean red chili paste)|sugar|ketchup|soy sauce|starch syrup|minced garlic|sesame seeds|cooking oil,https://haemukja.com/recipes/2952,반찬,간식/야식,퓨전요리,11.52,8.2,2.6,77.84,9.06,0.16,"['메추리알', '계란', '없는단어', '없는단어', '없는단어', '설탕', '캐첩', '간장', '녹말시럽', '마늘', '참깨', '식용유']",3.4
Dongrae Pajeon (Scallion Pancake),7,"팬케이크믹스,해산물모듬,,쪽파,물,계란,식용유","Korean pancake mix|seafood,|scallion|water|eggs|cooking oil",https://haemukja.com/recipes/2987,반찬,술안주,한식 요리,173.55,36.9,14.0,49.9,41.55,0.05,"['팬케이크믹스', '해산물모듬', '', '쪽파', '물', '계란', '식용유']",3.7
Doriyaki - Japanese Red Bean Pancake,5,"우유,계란,팬케이크믹스,팥소,견과류",milk|eggs|pancake mix|red bean paste|mixed nuts,https://haemukja.com/recipes/3414,반찬,간식/야식,일식 요리,1312.0,221.8,70.4,152.8,552.5,2.7,"['우유', '계란', '팬케이크믹스', '팥소', '견과류']",3.0
Dried Pollack Ramen,5,"북어,라면,고추,고춧가루,참기름",dried pollack|instant ramen|spicy peppers|red pepper flake|sesame oil,https://haemukja.com/recipes/3196,국밥/면/죽,해장요리|간식/야식,한식 요리,23.5,0.55,0.2,0.8,1.25,5.2,"['북어', '라면', '고추', '고춧가루', '참기름']",2.0
Dried Pollack Seaweed Soup,10,"참깨,없는단어,들깨가루,마늘,간장,맛술,들깨기름,후추,들깨기름,간장",[Ingredients] dried seaweed|sliced dried pollack|wild sesame powder|[Marinade] minced garlic|light soy sauce|cooking wine|wild sesame oil|pepper|[Sauce] wild sesame oil|light soy sauce,https://haemukja.com/recipes/3098,반찬,,한식 요리,3.0,0.4,0.25,120.5333333,5.283333333,0.133333333,"['참깨', '없는단어', '들깨가루', '마늘', '간장', '맛술', '들깨기름', '후추', '들깨기름', '간장']",3.1
Dumpling with Spicy Mixed Veggies,5,"콩나물,없는단어,없는단어,없는단어,없는단어",bean sprouts|sesame leaves|onion|cucumber|onion,https://haemukja.com/recipes/3192,반찬,간식/야식|술안주|손님 접대 요리,한식 요리,10.35,5.0,0.9,1.55,22.0,6.65,"['콩나물', '없는단어', '없는단어', '없는단어', '없는단어']",2.9
Egg in Hell ,15,"양파,소세지,당근,송이버섯,피망,계란,토마토,식빵,닭고기육수,살사소스,토마토페이스트,바질,허브,후추,파마산치즈가루",양파|소세지|당근|송이버섯|피망|계란|토마토|식빵 (에그인헬 올려 먹는 빵)|닭육수 (치킨스톡 가능)|살사소스 (없어도 됨)|토마토 페이스트|바질 허브 후추|파마산 치즈,https://haemukja.com/recipes/1383,빵,간식/야식,양식 요리,17.775,8.7,4.225,37.5,18.325,6.05,"['양파', '소세지', '당근', '송이버섯', '피망', '계란', '토마토', '식빵', '닭고기육수', '살사소스', '토마토페이스트', '바질', '허브', '후추', '파마산치즈가루']",1.9
Freshwater Snails Soup in Korean Bean Paste,12,"양파,표고버섯,없는단어,민물달팽이,다시국물,마늘,파,없는단어,고춧가루,고추,양배추,밥","[Ingredients] onion|shiitake mushroom|tofu|freshwater snails|dashi broth|minced garlic|chopped scallions|Doenjang|red pepper flake|[Optional] hot green pepper|[Vegetable wrap] cabbage, kale and leafy greens|rice",https://haemukja.com/recipes/3099,스프,,한식 요리,2.85,1.333333333,1.516666667,90.18333333,17.91666667,1.1,"['양파', '표고버섯', '없는단어', '민물달팽이', '다시국물', '마늘', '파', '없는단어', '고춧가루', '고추', '양배추', '밥']",1.7
Fried Hard Tack Cake,3,"튀긴건빵,우유,사이다",Fried hardtack|milk|Sprite,https://haemukja.com/recipes/2958,후식,간식/야식,양식 요리,287.5,46.7,7.6,289.5,116.5,1.0,"['튀긴건빵', '우유', '사이다']",2.0
Fried Rice with Webfoot Octopus,15,"주꾸미,없는단어,마늘,없는단어,밥,없는단어,파,없는단어,설탕,고춧가루,간장,참기름,없는단어,참깨,후추",webfoot octopus|flour|garlic|onion|rice|dried laver flakes|[Optional] scallion|sesame leaves|[Sauce] sugar|red pepper flake|soy sauce|sesame oil|Gochu-jang (Korean red chili paste)|sesame|pepper,https://haemukja.com/recipes/3089,밥,간식/야식,한식 요리,61.95,15.7,7.75,543.65,49.3,5.4,"['주꾸미', '없는단어', '마늘', '없는단어', '밥', '없는단어', '파', '없는단어', '설탕', '고춧가루', '간장', '참기름', '없는단어', '참깨', '후추']",3.3
Fruity Mixed Berry Pudding,5,"사과주스,젤라틴시트,딸기,블루베리,민트",apple juice|gelatin sheets|strawberries|blueberries|mint,https://haemukja.com/recipes/3047,후식,나들이 요리|간식/야식|파티/명절요리,양식 요리,8.65,4.35,0.3,0.85,2.1,5.5,"['사과주스', '젤라틴시트', '딸기', '블루베리', '민트']",3.2
Garlic Bread and Aglio Olio,14,"바게트,버터,설탕,마늘,마늘,파슬리,스파게티면,페퍼론치노,검은올리브,파마산치즈가루,소금,후추,올리브기름,로즈마리",baguette|butter|sugar|garlic|minced garlic|parsley powder|spaghetti noodle|peperoncino|black olives|parmesan cheese powder|salt|pepper|olive oil|rosemary,https://haemukja.com/recipes/3713,국밥/면/죽,손님 접대 요리|파티/명절요리,양식 요리,1469.5,167.5,31.3,2828.7,337.5,1.4,"['바게트', '버터', '설탕', '마늘', '마늘', '파슬리', '스파게티면', '페퍼론치노', '검은올리브', '파마산치즈가루', '소금', '후추', '올리브기름', '로즈마리']",2.7
