레시피,필요 식재료 개수,변환된식재료,재료명,url,카테고리,상황태그,국가태그,칼로리,탄수화물,단백질,나트륨,칼슘,비타민c,식재료,해먹지수
베리베이글,4,"베이글,크림치즈,블루베리,딸기",베이글|크림치즈|블루베리|딸기,https://haemukja.com/recipes/4661,빵,간식/야식|파티/명절요리,이국적인맛|양식 요리,55.35,18.7,3.6,144.35,13.5,6.95,"['베이글', '크림치즈', '블루베리', '딸기']",2.2
베리스무디,6,"컬리플라워,바나나,딸기,냉동블루베리,아보카도,코코넛워터",컬리플라워|바나나|생 스트로베리|냉동 블루베리|아보카도|코코넛워터,https://haemukja.com/recipes/499,후식,간식/야식,퓨전요리,704.8,83.7,10.0,246.2,123.6,112.6,"['컬리플라워', '바나나', '딸기', '냉동블루베리', '아보카도', '코코넛워터']",2.8
베리컵젤리,5,"블루베리,체리,꿀,판젤라틴,레몬즙",블루베리|체리|꿀|판젤라틴|레몬즙,https://haemukja.com/recipes/5770,후식,간식/야식|손님 접대 요리|파티/명절요리,퓨전요리|양식 요리,6.325,6.825,0.275,4.4,2.075,5.075,"['블루베리', '체리', '꿀', '판젤라틴', '레몬즙']",2.2
베리콩포트 팬케이크,13,"핫케이크믹스,계란,우유,마스카포네치즈,슈가파우더,생크림,냉동딸기,냉동라즈베리,냉동블루베리,레몬,설탕,꿀,로즈마리",핫케이크가루|계란|우유|마스카포네치즈|슈가파우더|생크림|냉동 딸기|냉동 라즈베리|냉동 블루베리|레몬|설탕|꿀|로즈마리 잎,https://haemukja.com/recipes/1133,반찬,간식/야식,양식 요리,318.15,64.75,10.75,507.55,178.8,11.05,"['핫케이크믹스', '계란', '우유', '마스카포네치즈', '슈가파우더', '생크림', '냉동딸기', '냉동라즈베리', '냉동블루베리', '레몬', '설탕', '꿀', '로즈마리']",2.8
베리크림치즈크레이프,14,"우유,물,설탕,바닐라농축액,계란,밀가루,냉동라즈베리,냉동블루베리,냉동딸기,설탕,시나몬가루,크림치즈,설탕,레몬주스",우유|물|황설탕|바닐라 농축액|큰 달걀|밀가루|냉동 라즈베리|냉동 블루베리|냉동 딸기|설탕|시나몬 가루|크림치즈|설탕|레몬주스,https://haemukja.com/recipes/412,반찬,파티/명절요리,,13.08,9.84,1.54,24.92,15.04,1.86,"['우유', '물', '설탕', '바닐라농축액', '계란', '밀가루', '냉동라즈베리', '냉동블루베리', '냉동딸기', '설탕', '시나몬가루', '크림치즈', '설탕', '레몬주스']",2.8
베이글 3종 스프레드,7,"베이글,크림치즈,블루베리잼,호두,메이플시럽,베이컨,양파",베이글|크림치즈|블루베리 잼|호두|메이플 시럽|베이컨|양파,https://haemukja.com/recipes/3994,빵,간식/야식|나들이 요리|손님 접대 요리|파티/명절요리,양식 요리,200.65,35.2,11.8,475.2,52.4,0.6,"['베이글', '크림치즈', '블루베리잼', '호두', '메이플시럽', '베이컨', '양파']",2.2
베이글 피자,4,"베이글,토마토소스,모짜렐라치즈,페퍼로니",베이글|토마토소스|모짜렐라치즈|페퍼로니,https://haemukja.com/recipes/1001,빵,간식/야식,양식 요리,234.55,60.45,24.15,915.2,188.2,5.3,"['베이글', '토마토소스', '모짜렐라치즈', '페퍼로니']",5.0
베이글베이컨에그샌드위치,7,"베이글,양상추,체다치즈,머스타드소스,캐첩,계란,파마산치즈가루",베이글|양상추|제다슬라이스치즈|머스타스소스|케첩|계란|파마산가루,https://haemukja.com/recipes/1959,빵,나들이 요리,퓨전요리,100.55,31.55,10.3,388.0,47.8,2.55,"['베이글', '양상추', '체다치즈', '머스타드소스', '캐첩', '계란', '파마산치즈가루']",4.7
베이글피자,6,"베이글,소세지,토마토소스,치즈,양파,계란",베이글|소세지|토마토소스|치즈|양파|계란,https://haemukja.com/recipes/4668,빵,파티/명절요리,이국적인맛,97.9,22.55,12.45,505.45,148.85,2.15,"['베이글', '소세지', '토마토소스', '치즈', '양파', '계란']",5.0
베이컨 관자말이구이,5,"관자,베이컨,샐러드,발사믹식초,식용유",관자|베이컨|모듬샐러드채소|발사믹식초|식용유,https://haemukja.com/recipes/4438,반찬,술안주|손님 접대 요리|파티/명절요리,양식 요리,954.8,16.8,67.5,2399.9,98.7,9.5,"['관자', '베이컨', '샐러드', '발사믹식초', '식용유']",5.0
베이컨 김치찌개,5,"베이컨,김치,고추,양파,대파",베이컨|김치|청양고추|양파|대파,https://haemukja.com/recipes/2204,국,,한식 요리,142.55,2.3,9.6,452.6,12.55,4.35,"['베이컨', '김치', '고추', '양파', '대파']",3.7
베이컨 꼬치,5,"베이컨,마늘쫑,파프리카,팽이버섯,떡",베이컨|마늘쫑|파프리카|팽이버섯|떡,https://haemukja.com/recipes/1230,반찬,술안주,퓨전요리,229.45,23.05,14.5,656.35,19.95,131.25,"['베이컨', '마늘쫑', '파프리카', '팽이버섯', '떡']",5.0
베이컨 달걀 크레페,12,"계란,베이컨,양송이버섯,방울토마토,드라이바질,버터,밀가루,우유,설탕,소금,계란,버터",달걀|베이컨|양송이|방울토마토|드라이 바질|버터|[크레페 반죽] 밀가루|우유|설탕|소금|달걀|버터,https://haemukja.com/recipes/3655,후식,간식/야식,양식 요리,690.5,50.1,26.7,652.2,122.6,2.9,"['계란', '베이컨', '양송이버섯', '방울토마토', '드라이바질', '버터', '밀가루', '우유', '설탕', '소금', '계란', '버터']",2.0
베이컨 떡 치즈롤,7,"춘권피,베이컨,스트링치즈,떡,버터,우유,체다치즈",춘권피|베이컨|스트링 치즈|떡|버터|우유|체더치즈,https://haemukja.com/recipes/2645,반찬,술안주|손님 접대 요리,퓨전요리,180.85,39.2,14.55,493.75,183.45,0.75,"['춘권피', '베이컨', '스트링치즈', '떡', '버터', '우유', '체다치즈']",4.4
베이컨 롤 토스트,6,"식빵,딸기잼,치즈,베이컨,계란,파슬리",식빵|딸기잼|치츠|베이컨|계란|파슬리,https://haemukja.com/recipes/2582,빵,나들이 요리|간식/야식,양식 요리,53.7,9.45,4.55,94.1,12.55,0.85,"['식빵', '딸기잼', '치즈', '베이컨', '계란', '파슬리']",5.0
베이컨 말이 감자 튀김,6,"감자,소금,체다치즈,베이컨,빵가루,식용유",감자|소금|체다치즈|베이컨|빵가루|식용유,https://haemukja.com/recipes/845,반찬,나들이 요리|술안주|간식/야식|파티/명절요리,퓨전요리,245.4,17.6,9.866666667,995.6,57.56666667,20.56666667,"['감자', '소금', '체다치즈', '베이컨', '빵가루', '식용유']",5.0
베이컨 숙주 볶음,13,"팽이버섯,마늘,고추,파,양파,베이컨,숙주,고추기름,굴소스,후추,설탕,소금,깨",팽이버섯|마늘|청양고추|파|양파|베이컨|숙주|고추기름|굴소스|통후추|설탕|소금|깨,https://haemukja.com/recipes/5979,반찬,술안주,퓨전요리,142.1,8.9,7.95,608.8,25.2,13.0,"['팽이버섯', '마늘', '고추', '파', '양파', '베이컨', '숙주', '고추기름', '굴소스', '후추', '설탕', '소금', '깨']",2.1
베이컨 시금치 파스타,10,"파스타면,베이컨,마늘,양파,시금치,어린잎채소,우유,생크림,소금,후추",파스타면|베이컨|마늘|양파|시금치|어린잎채소|우유|생크림|소금|후추,https://haemukja.com/recipes/4403,국밥/면/죽,손님 접대 요리|파티/명절요리,양식 요리,173.05,24.25,7.55,392.9,119.65,10.5,"['파스타면', '베이컨', '마늘', '양파', '시금치', '어린잎채소', '우유', '생크림', '소금', '후추']",3.9
베이컨 야끼라면,7,"라면,베이컨,마늘,양파,고추,굴소스,가쓰오부시",라면|베이컨|슬라이스된마늘|양파|청양고추|굴소스|가쓰오부시,https://haemukja.com/recipes/2368,국밥/면/죽,해장요리,,980.6,75.6,26.4,3749.7,58.2,11.9,"['라면', '베이컨', '마늘', '양파', '고추', '굴소스', '가쓰오부시']",4.1
베이컨 치즈 주먹밥구이,8,"밥,베이컨,양파,김치,모짜렐라치즈,소금,후추,오일",밥|베이컨|양파|김치|모짜렐라치즈|소금|후추|오일,https://haemukja.com/recipes/257,밥,간식/야식,한식 요리,310.3,49.65,26.1,1400.45,378.05,7.95,"['밥', '베이컨', '양파', '김치', '모짜렐라치즈', '소금', '후추', '오일']",2.7
베이컨&에그컵,7,"계란,베이컨,방울토마토,할라피뇨고추,피자치즈,소금,후추",계란|베이컨|방울토마토|할라피뇨|피자치즈|소금|후추,https://haemukja.com/recipes/5376,반찬,,퓨전요리|양식 요리,779.3,8.7,36.4,1486.4,128.9,13.4,"['계란', '베이컨', '방울토마토', '할라피뇨고추', '피자치즈', '소금', '후추']",4.4
